date,gamePk,home_team,away_team,home_score,away_score,home_ops,home_era,home_whip,away_ops,away_era,away_whip,run_diff_home,run_diff_away,result_home,result_away,home_record,away_record
2025-03-11,779007,San Diego Padres,Chicago White Sox,7,5,1.267,5.0,1.222,0.658,7.875,2.25,2,-2,1,0,0-5,0-6
2025-03-11,778794,Arizona Diamondbacks,Kansas City Royals,3,2,0.772,2.0,1.222,0.771,3.375,1.75,1,-1,1,0,0-5,0-4
2025-03-11,778754,Chicago Cubs,Milwaukee Brewers,7,9,0.674,9.0,1.889,1.094,6.0,1.556,-2,2,0,1,0-6,0-5
2025-03-11,778926,Texas Rangers,Los Angeles Angels,13,6,1.238,6.0,1.778,0.88,13.5,2.875,7,-7,1,0,0-4,0-5
2025-03-11,778852,Los Angeles Dodgers,Cleveland Guardians,10,4,0.911,4.0,1.222,0.657,11.25,2.5,6,-6,1,0,0-6,0-5
2025-03-11,778824,Cincinnati Reds,Colorado Rockies,8,5,1.012,5.0,1.444,0.846,7.875,1.75,3,-3,1,0,0-4,0-5
2025-03-11,779070,St. Louis Cardinals,Miami Marlins,5,12,0.731,11.0,1.889,1.225,5.0,1.667,-7,7,0,1,0-5,0-6
2025-03-11,779030,Pittsburgh Pirates,New York Yankees,9,1,1.077,1.0,1.333,0.636,10.125,1.875,8,-8,1,0,0-5,0-4
2025-03-11,779048,New York Yankees,Baltimore Orioles,2,6,0.588,5.0,1.444,0.841,2.0,0.889,-4,4,0,1,0-5,0-5
2025-03-11,778700,Atlanta Braves,Detroit Tigers,1,3,0.493,3.0,1.222,0.624,1.0,0.778,-2,2,0,1,0-6,0-4
2025-03-11,778767,Boston Red Sox,Philadelphia Phillies,8,18,0.886,18.0,3.222,1.224,6.0,2.0,-10,10,0,1,0-5,0-5
2025-03-11,778727,Houston Astros,New York Mets,7,4,0.947,4.0,0.778,0.541,7.875,2.125,3,-3,1,0,0-4,0-5
2025-03-11,778954,Toronto Blue Jays,Minnesota Twins,3,2,0.612,2.0,1.0,0.547,3.375,1.125,1,-1,1,0,0-4,0-5
2025-03-12,778764,Boston Red Sox,Minnesota Twins,6,5,0.559,5.0,1.556,0.694,6.231,1.038,1,-1,1,0,0-6,0-6
2025-03-12,779005,Seattle Mariners,Kansas City Royals,6,7,0.774,6.0,1.556,0.996,5.0,1.222,-1,1,0,1,0-5,0-5
2025-03-12,778793,Colorado Rockies,San Diego Padres,13,2,1.124,2.0,1.444,0.639,14.625,2.625,11,-11,1,0,0-4,0-4
2025-03-12,778846,Chicago White Sox,Los Angeles Angels,1,1,0.747,1.0,1.0,0.35,1.0,1.889,0,0,0,0,0-3,0-6
2025-03-12,778927,Texas Rangers,Cincinnati Reds,4,3,0.736,3.0,1.0,0.572,3.375,1.125,1,-1,1,0,0-5,0-5
2025-03-12,778823,Cleveland Guardians,San Francisco Giants,2,11,0.51,11.0,2.333,1.089,1.0,0.889,-9,9,0,1,0-5,0-5
2025-03-12,779123,Baltimore Orioles,Atlanta Braves,5,13,0.794,9.0,2.333,1.205,5.0,2.0,-8,8,0,1,0-5,0-3
